x = 1, y = 0
x = 2, y = 0.002739726027397249
x = 3, y = 0.008204165884781456
x = 4, y = 0.016355912466550326
x = 5, y = 0.02713557369979369
x = 6, y = 0.04046248364911165
x = 7, y = 0.05623570309597559
x = 8, y = 0.07433529235166925
x = 9, y = 0.09462383388916695
x = 10, y = 0.1169481777110779
x = 11, y = 0.14114137832173335
x = 12, y = 0.1670247888380647
x = 13, y = 0.19441027523242982
x = 14, y = 0.22310251200497344
x = 15, y = 0.2529013197636867
x = 16, y = 0.28360400525285023
x = 17, y = 0.3150076652965609
x = 18, y = 0.3469114178717895
x = 19, y = 0.37911852603153684
x = 20, y = 0.41143838358058016
x = 21, y = 0.4436883351652059
x = 22, y = 0.4756953076625502
x = 23, y = 0.5072972343239855
x = 24, y = 0.5383442579145289
x = 25, y = 0.568699703969464
x = 26, y = 0.598240820135939
x = 27, y = 0.6268592822632421
x = 28, y = 0.6544614723423995
x = 29, y = 0.680968537477777
x = 30, y = 0.7063162427192686
x = 31, y = 0.7304546337286438
x = 32, y = 0.7533475278503207
x = 33, y = 0.774971854175772
x = 34, y = 0.7953168646201543
x = 35, y = 0.8143832388747152
x = 36, y = 0.8321821063798795
x = 37, y = 0.8487340082163846
x = 38, y = 0.8640678210821209
x = 39, y = 0.878219664366722
x = 40, y = 0.891231809817949
x = 41, y = 0.9031516114817354
x = 42, y = 0.9140304715618692
x = 43, y = 0.9239228556561199
x = 44, y = 0.9328853685514263
x = 45, y = 0.9409758994657749
x = 46, y = 0.9482528433672547
x = 47, y = 0.9547744028332993
x = 48, y = 0.9605979728794224
x = 49, y = 0.9657796093226765
x = 50, y = 0.9703735795779884
x = 51, y = 0.9744319933344283
x = 52, y = 0.9780045093342753
x = 53, y = 0.9811381134839128
x = 54, y = 0.9838769627588515
x = 55, y = 0.9862622888164461
x = 56, y = 0.9883323548852008
x = 57, y = 0.9901224593411699
x = 58, y = 0.9916649793892612
x = 59, y = 0.992989448417817
x = 60, y = 0.994122660865348
x = 61, y = 0.9950887988052908
x = 62, y = 0.9959095748953655
x = 63, y = 0.9966043868309472
x = 64, y = 0.9971904789669755
x = 65, y = 0.9976831073124921
x = 66, y = 0.9980957046404045
x = 67, y = 0.9984400429793998
x = 68, y = 0.9987263912544141
x = 69, y = 0.9989636663083863
x = 70, y = 0.9991595759651571
x = 71, y = 0.9993207531773187
x = 72, y = 0.9994528806414568
x = 73, y = 0.9995608055560187
x = 74, y = 0.9996486444448149
x = 75, y = 0.9997198781738114
x = 76, y = 0.9997774374531652
x = 77, y = 0.999823779243739
x = 78, y = 0.9998609545813611
x = 79, y = 0.9998906683968511
x = 80, y = 0.9999143319493135
x = 81, y = 0.999933108508368
x = 82, y = 0.9999479529215796
x = 83, y = 0.9999596456898823
x = 84, y = 0.9999688221494433
x = 85, y = 0.9999759973260097
x = 86, y = 0.9999815869898157
x = 87, y = 0.9999859253976947
x = 88, y = 0.9999892801659155
x = 89, y = 0.9999918646738591
x = 90, y = 0.9999938483561236
x = 91, y = 0.9999953651998191
x = 92, y = 0.9999965207253437
x = 93, y = 0.9999973976932023
x = 94, y = 0.9999980607467152
x = 95, y = 0.9999985601708488
x = 96, y = 0.9999989349209019
x = 97, y = 0.9999992150512947
x = 98, y = 0.9999994236541013
x = 99, y = 0.9999995783990275
